country,year,pop_adult,any_account_share,formal_account_share,mobile_account_share,saved_formal,active_accounts,registered_accounts,agents_per_100k,active_accounts_per_1000,mobile_to_formal_ratio,delta_active_accounts,delta_mobile_account_share,sadc_mobile_avg,relative_penetration_index
"Egypt, Arab Rep.",2014,63009609.0,0.14126797,0.13651753,0.011449442,0.25928635,,,,,0.08386792524007723,,,0.1794154358955224,-0.1679659938955224
El Salvador,2014,4304307.0,0.367197118,0.346347202,0.045567878,0.575405368,,,,,0.1315670452565111,,,0.1794154358955224,-0.13384755789552238
Estonia,2014,1110561.0,0.97671671,0.97671671,,0.517583813,,,,,,,,0.1794154358955224,
Ethiopia,2014,55109169.0,0.217915817,0.217915817,0.0002789486415923,0.481070116,,,,,0.0012800752392943555,,,0.1794154358955224,-0.17913648725393008
Finland,2014,4545771.0,1.0,1.0,,0.710336149,,,,,,,,0.1794154358955224,
France,2014,53825137.0,0.965827529,0.965827529,,0.67145235,,,,,,,,0.1794154358955224,
Gabon,2014,1209169.0,0.330141832,0.301545536,0.066484249,0.560127454,,,,,0.2204783061354952,,,0.1794154358955224,-0.1129311868955224
Georgia,2014,3020250.0,0.396650699,0.396650699,,0.13320781,,,,,,,,0.1794154358955224,
Germany,2014,69974132.0,0.987604067,0.987604067,,0.798410895,,,,,,,,0.1794154358955224,
Ghana,2014,16743744.0,0.405057942,0.346183758,0.130065504,0.553160443,,,,,0.37571232328005405,,,0.1794154358955224,-0.04934993189552239
Greece,2014,9357686.0,0.875186471,0.875186471,,0.236512525,,,,,,,,0.1794154358955224,
Guatemala,2014,9616393.0,0.413492185,0.407867284,0.017702767,0.557452415,,,,,0.043403253201352625,,,0.1794154358955224,-0.16171266889552238
Guinea,2014,6293415.0,0.069600173,0.061701273,0.014732857,0.451941015,,,,,0.23877719670386705,,,0.1794154358955224,-0.1646825788955224
Haiti,2014,6636287.0,0.188586778,0.174960995,0.037826898,0.448268358,,,,,0.2162018911700862,,,0.1794154358955224,-0.1415885378955224
Honduras,2014,5672647.0,0.314863604,0.300436578,0.034087009,0.396811491,,,,,0.11345825207741515,,,0.1794154358955224,-0.1453284268955224
"Hong Kong Sar, China",2014,6342961.0,0.961476401,0.961476401,,0.673772483,,,,,,,,0.1794154358955224,
Hungary,2014,8464202.0,0.722568274,0.722568274,,0.382045486,,,,,,,,0.1794154358955224,
India,2014,907853291.0,0.5314155,0.527538087,0.023522101,0.382760408,,,,,0.04458844125125699,,,0.1794154358955224,-0.1558933348955224
Indonesia,2014,185894322.0,0.360589893,0.359473605,0.004496315,0.692987123,,,,,0.012508053268612032,,,0.1794154358955224,-0.1749191208955224
"Iran, Islamic Rep.",2014,61676328.0,0.922802533,0.921752207,0.044956916,0.421552259,,,,,0.04877332070223076,,,0.1794154358955224,-0.13445851989552238
Iraq,2014,20884823.0,0.109723491,0.109723491,,0.486185582,,,,,,,,0.1794154358955224,
Ireland,2014,3629630.0,0.947101387,0.947101387,,0.696675062,,,,,,,,0.1794154358955224,
Israel,2014,5787501.0,0.899527758,0.899527758,,0.620526902,,,,,,,,0.1794154358955224,
Italy,2014,51850742.0,0.873345771,0.873345771,,0.565681099,,,,,,,,0.1794154358955224,
Jamaica,2014,2096466.0,0.78458207,0.783459619,0.009165031,0.742741419,,,,,0.011698153647916345,,,0.1794154358955224,-0.1702504048955224
Japan,2014,110762343.0,0.966455822,0.966455822,,0.719428302,,,,,,,,0.1794154358955224,
Jordan,2014,5205320.0,0.246159099,0.246159099,0.004686658,0.292151706,,,,,0.019039141835662958,,,0.1794154358955224,-0.17472877789552238
Kazakhstan,2014,12875804.0,0.539074168,0.539074168,,0.303391979,,,,,,,,0.1794154358955224,
Kenya,2014,25714887.0,0.746578329,0.552055402,0.583926337,0.760648718,,,,,1.0577314068199262,,,0.1794154358955224,0.40451090110447757
"Korea, Rep.",2014,43035419.0,0.943608135,0.943608135,,0.739186671,,,,,,,,0.1794154358955224,
Kosovo,2014,1334099.0,0.47803151,0.47803151,,0.356062413,,,,,,,,0.1794154358955224,
Kuwait,2014,2736473.0,0.729081838,0.729081838,,0.615324665,,,,,,,,0.1794154358955224,
Kyrgyz Republic,2014,3978542.0,0.184706012,0.184706012,,0.361988633,,,,,,,,0.1794154358955224,
Latvia,2014,1719348.0,0.902182506,0.902182506,,0.442537635,,,,,,,,0.1794154358955224,
Lebanon,2014,4265657.0,0.469271357,0.469271357,0.006707376,0.471470576,,,,,0.014293171530603348,,,0.1794154358955224,-0.1727080598955224
Lithuania,2014,2524428.0,0.779062865,0.779062865,,0.536721224,,,,,,,,0.1794154358955224,
Luxembourg,2014,451457.0,0.961686997,0.961686997,,0.777863587,,,,,,,,0.1794154358955224,
Madagascar,2014,13785487.0,0.085513387,0.057274886,0.043560187,0.396701465,,,,,0.7605460271016515,,,0.1794154358955224,-0.1358552488955224
Malawi,2014,8735190.0,0.180924196,0.161356668,0.038441009,0.597115685,,,,,0.23823625931591497,,,0.1794154358955224,-0.1409744268955224
Malaysia,2014,22158615.0,0.806746218,0.806746218,0.028302111,0.815895524,,,,,0.0350818018957233,,,0.1794154358955224,-0.1511133248955224
Mali,2014,9100789.0,0.200760415,0.132534052,0.116424546,0.449048841,,,,,0.8784500605172774,,,0.1794154358955224,-0.06299088989552239
